Entry Key,MID,E,G,NU,RHO,A,TREF,GE,ST,SC,SS,MCSID
MAT1,1,84100.,27000.,.37037,5.1-6,,,,,,,
MAT1,2,84100.,27000.,.37037,5.1-6,,,,,,,
MAT1,3,84100.,28461.5,.3,5.1-6,,,,,,,
MAT1,4,84100.,28461.5,.3,5.1-6,,,,,,,
MAT1,17103,84100.,27819.6,.33,5.1-6,,,,,,,
MAT1,17104,174000.,75188.,.33,1.86-6,,,,,,,
MAT1,17105,119000.,41353.4,.33,5.1-6,,,,,,,
MAT1,17106,25000.,27443.6,.33,5.1-6,,,,450.,332.,260.,
MAT1,17107,25000.,27443.6,.33,5.1-6,,,,310.,222.2,210.,
MAT1,17108,39000.,27443.6,.33,5.1-6,,,,310.,280.,210.,
MAT1,17109,39000.,27067.7,.33,5.1-6,,,,310.,258.5,210.,
MAT1,17110,39000.,27067.7,.33,5.1-6,,,,310.,270.,210.,
MAT1,17111,39000.,27067.7,.33,5.1-6,,,,310.,250.,210.,
MAT1,17112,45000.,28461.5,.3,5.1-6,,,,310.,250.2,210.,
MAT1,17113,45500.,27631.6,.33,5.1-6,,,,410.,277.,245.,
MAT1,17114,45000.,27819.6,.33,5.1-6,,,,390.,250.,235.,
MAT1,17115,45000.,27819.6,.33,5.1-6,,,,390.,317.,235.,
MAT1,17116,45000.,27067.7,.33,5.1-6,,,,310.,266.,210.,
MAT1,17117,45000.,27443.6,.33,5.1-6,,,,450.,332.6,260.,
MAT1,17118,45000.,27443.6,.33,5.1-6,,,,390.,190.4,260.,
MAT1,17119,45000.,27443.6,.33,5.1-6,,,,450.,314.5,260.,
MAT1,17120,45000.,27443.6,.33,5.1-6,,,,450.,337.,260.,
MAT1,17121,45000.,27443.6,.33,5.1-6,,,,450.,286.4,260.,
MAT1,17122,45000.,27443.6,.33,5.1-6,,,,450.,294.4,260.,
MAT1,17123,45000.,27443.6,.33,5.1-6,,,,450.,219.3,260.,
MAT1,17124,45000.,27443.6,.33,5.1-6,,,,450.,340.4,260.,
MAT1,17125,45000.,27443.6,.33,5.1-6,,,,450.,263.7,260.,
MAT1,17126,41000.,27067.7,.33,5.1-6,,,,310.,256.3,210.,
MAT1,17127,45000.,27443.6,.33,5.1-6,,,,450.,376.3,260.,
MAT1,17128,45000.,27443.6,.33,5.1-6,,,,380.,248.,260.,
MAT1,17129,45000.,27443.6,.33,5.1-6,,,,450.,379.2,260.,
MAT1,17130,45000.,27443.6,.33,5.1-6,,,,450.,386.8,260.,
MAT1,17131,45000.,27443.6,.33,5.1-6,,,,450.,300.,260.,
MAT1,17132,45000.,27443.6,.33,5.1-6,,,,485.,260.8,290.,
MAT1,17133,45000.,27443.6,.33,5.1-6,,,,450.,400.,260.,
MAT1,17134,110000.,41353.4,.33,5.1-6,,,,880.,815.,,
MAT1,17135,45000.,27443.6,.33,5.1-6,,,,450.,271.9,260.,
MAT1,17136,45000.,27443.6,.33,5.1-6,,,,450.,370.,260.,
MAT1,17137,45000.,27443.6,.33,5.1-6,,,,450.,410.,260.,
MAT1,17138,45000.,27819.6,.33,5.1-6,,,,390.,292.2,235.,
MAT1,17139,45500.,27631.6,.33,5.1-6,,,,460.,293.8,260.,
MAT1,17140,45500.,27631.6,.33,5.1-6,,,,460.,431.9,260.,
MAT1,17141,45000.,27443.6,.33,5.1-6,,,,450.,333.9,260.,
MAT1,17142,53000.,27067.7,.33,5.1-6,,,,460.,305.3,260.,
MAT1,17143,55400.,27631.6,.33,5.1-6,,,,460.,398.8,260.,
MAT1,17144,61000.,27443.6,.33,5.1-6,,,,460.,251.2,235.,
MAT1,150001,v000.  2,7000.  .,37037  5,.1-6,,,,,,,
MAT1,150002,v000.  2,8461.5 .,3      5,.1-6,,,,,,,
MAT1,160001,v000.  2,7000.  .,37037  5,.1-6,,,,,,,
MAT1,160002,45000.,28461.5,.3,5.1-6,,,,,,,
MAT1,170003,61000.,28000.,.3,5.1-6,,,,,,,
MAT1,170005,45000.,28461.5,.3,5.1-6,,,,,,,
MAT1,170006,210000.,80769.2,.3,5.1-6,,,,,,,
MAT1,170901,45000.,27000.,.37037,5.1-6,,,,,,,
MAT1,173001,45000.,28461.5,.3,5.1-6,,,,,,,
MAT1,173002,45000.,27000.,.37037,5.1-6,,,,,,,
MAT1,174001,45000.,27000.,.37037,5.1-6,,,,,,,
MAT1,174002,117000.,42000.,.309524,5.1-6,,,,,,,
MAT1,174003,174000.,81000.,.296296,1.86-6,,,,,,,
MAT1,174004,45000.,27000.,.37037,5.1-6,,,,,,,
MAT1,180001,45000.,27000.,.37037,5.1-6,,,,,,,
MAT1,180002,45000.,28461.5,.3,5.1-6,,,,,,,
MAT1,190001,45000.,27000.,.37037,5.1-6,,,,,,,
MAT1,190002,45000.,28461.5,.3,5.1-6,,,,,,,
MAT1,5,45000.,27000.,.37037,,,,,,,,
MAT1,6,45000.,28461.5,.3,,,,,,,,
